Change Physical Footprint: Designator=C101 Old Footprint=C10u-50V-1210FNPMLCC-X7R New Footprint=C10u-50V-1210FNPMLCC-X7R
Change Physical Footprint: Designator=C102 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C103 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C104 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C105 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C106 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C201 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C202 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C203 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C204 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C205 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C206 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C207 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C301 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C302 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C303 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C304 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C305 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C306 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C307 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C308 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C309 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C310 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
